"Full Name",Position,"Draft Year",Weight,"40-Yard Dash","Broad Jump","Vertical Jump","Bench Press","3-Cone Drill","20-Yard Shuttle","Breakout Age","College Dominator Rating"
"Corey Washington",WR,2014,"214 lbs",4.55,125,33.0,14,6.83,4.42,20.7,48.3%
"Corey Willis",WR,2018,"182 lbs",4.60,123,33.0,-,6.85,4.13,21.4,34.8%
"Cortrelle Simpson",WR,2019,-,-,-,-,-,-,-,21.0,34.1%
"Courtland Sutton",WR,2018,"218 lbs",4.54,124,35.5,18,6.57,4.11,19.9,36.9%
"Courtney Roby",WR,2005,"189 lbs",4.36,126,36.5,-,6.60,3.94,19.7,46.7%
"Curtis Samuel",WR,2017,"196 lbs",4.31,119,37.0,18,7.09,4.33,20.1,29.0%
"Cyril Grayson",WR,2017,"183 lbs",4.38,127,-,-,-,-,-,-
"D.J. Chark",WR,2018,"199 lbs",4.34,129,40.0,16,-,-,20.0,25.3%
"D.J. Coles",WR,2014,"225 lbs",4.53,123,34.0,19,7.17,4.24,23.9,25.5%
"D.J. Moore",WR,2018,"210 lbs",4.42,132,39.5,15,6.95,4.07,18.4,53.3%
"D.K. Metcalf",WR,2019,"228 lbs",4.33,134,40.5,27,7.38,4.50,19.7,32.1%
"Da'Mari Scott",WR,2018,"205 lbs",4.52,116,32.5,10,6.86,4.27,-,14.3%
"Da'Rick Rogers",WR,2013,"217 lbs",4.52,132,39.5,10,6.71,4.06,20.2,42.9%
"Da'Ron Brown",WR,2015,"205 lbs",4.54,120,37.0,17,7.04,4.11,22.0,35.6%
"DaMarkus Lodge",WR,2019,"202 lbs",4.55,119,33.5,11,7.06,4.53,20.3,20.6%
"DaVaris Daniels",WR,2015,"201 lbs",4.62,122,37.0,13,6.81,4.32,19.7,24.2%
"DaeSean Hamilton",WR,2018,"203 lbs",4.57,118,34.5,16,6.84,4.15,19.5,25.4%
"Daikiel Shorts",WR,2017,"196 lbs",4.65,124,33.0,16,7.15,4.29,21.9,23.0%
"Damaris Johnson",WR,2012,"175 lbs",4.57,113,30.0,13,6.80,4.20,18.8,22.6%
"Damarr Aultman",WR,2015,"198 lbs",4.53,128,40.5,20,6.65,3.94,20.6,23.4%
"Damian Copeland",WR,2014,"184 lbs",4.50,120,40.0,12,6.53,3.90,-,17.1%
"Damian Williams",WR,2010,"199 lbs",4.52,118,38.0,19,6.79,4.24,20.3,37.4%
"Damiere Byrd",WR,2015,"162 lbs",4.32,131,42.0,13,6.59,4.09,20.6,12.5%
"Damion Ratley",WR,2018,"196 lbs",4.44,124,38.0,12,6.92,4.23,22.4,24.3%
"Damion Willis",WR,2019,-,-,-,-,-,-,-,21.2,42.1%
"Damond Powell",WR,2015,"178 lbs",4.44,123,36.5,-,6.40,4.38,-,12.3%
"Damore'ea Stringfellow",WR,2017,"218 lbs",4.65,130,36.0,17,7.20,4.50,21.9,20.6%
"Damoun Patterson",WR,2018,"192 lbs",4.55,125,32.5,10,7.14,4.51,23.0,28.8%
"Danario Alexander",WR,2010,"221 lbs",4.62,-,-,-,-,-,21.1,50.9%
"Dane Sanzenbacher",WR,2011,"180 lbs",4.59,118,33.5,-,6.46,3.97,20.9,34.3%
"Daniel Braverman",WR,2016,"175 lbs",4.58,112,28.5,10,6.88,4.16,19.9,40.0%
"Daniel Williams",WR,2017,"234 lbs",4.56,121,35.0,17,7.44,4.46,19.1,37.0%
"Danny Amendola",WR,2009,"186 lbs",4.68,103,27.5,13,6.81,4.25,-,16.1%
"Danny Coale",WR,2012,"190 lbs",4.50,115,35.0,12,6.64,4.09,21.2,21.4%
"Dante Pettis",WR,2018,"186 lbs",4.53,125,36.0,11,-,-,20.9,38.8%
"Darius Davis",WR,2015,"212 lbs",4.60,125,37.5,17,7.28,4.41,23.5,39.1%
"Darius Jennings",WR,2015,"169 lbs",4.52,123,37.0,-,6.95,4.29,21.2,19.0%
"Darius Johnson",WR,2013,"179 lbs",4.60,109,32.0,6,7.29,4.53,19.5,36.3%
"Darius Powe",WR,2016,"220 lbs",4.54,120,34.5,17,6.94,4.29,-,14.8%
"Darius Slayton",WR,2019,"190 lbs",4.39,-,40.5,11,7.00,4.15,-,25.4%
"Darren Andrews",WR,2018,"197 lbs",-,-,-,19,-,-,22.1,35.8%
"Darren Carrington",WR,2018,"199 lbs",4.83,120,36.0,9,6.96,4.51,20.9,34.4%
"Darreus Rogers",WR,2017,"216 lbs",4.94,112,26.5,8,7.22,4.54,-,15.7%
"Darrius Heyward-Bey",WR,2009,"210 lbs",4.30,126,38.5,16,6.80,4.18,19.5,30.6%
"Darryl Surgent",WR,2014,"190 lbs",4.60,133,39.5,8,6.87,4.28,-,19.3%
"Darvin Kidsy",WR,2018,"180 lbs",4.51,127,41.5,-,-,-,22.5,38.5%
"Daurice Fountain",WR,2018,"206 lbs",4.56,134,42.5,14,7.02,4.29,19.7,36.8%
"Davante Adams",WR,2014,"212 lbs",4.56,123,39.5,14,6.82,4.30,19.7,40.7%
"David Gettis",WR,2010,"217 lbs",4.43,124,34.5,15,6.94,4.41,22.0,23.1%
"David Moore",WR,2017,"219 lbs",4.48,124,36.5,26,6.98,4.38,19.6,39.1%
"David Nelson",WR,2010,"214 lbs",4.59,112,38.0,16,6.79,4.13,-,9.9%
"David Reed",WR,2010,"190 lbs",4.56,114,37.0,15,6.95,4.38,22.5,33.1%
"David Richards",WR,2016,"205 lbs",4.73,122,33.0,13,-,4.39,-,18.8%
"David Sills",WR,2019,"211 lbs",4.57,-,37.5,14,6.97,4.28,21.3,33.9%
"Davon Grayson",WR,2018,"199 lbs",4.51,124,34.5,19,7.14,4.40,22.0,25.3%
