"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"Javorius Allen",RB,"31 3/4",72,30.0,4.26,2015,"9 3/8"
"Jay Ajayi",RB,"32    ",72,30.0,5.13,2015,"10    "
"Jay Prosch",RB,"30 1/8",73,33.6,6.35,2014,"10    "
"Jaylen Samuels",RB,"31 3/8",72,30.5,5.28,2018,"9 1/4"
"Jeff Wilson",RB,"31 1/2",72,28.5,Undrafted,2018,"9 1/4"
"Jeremy Cox",RB,"31    ",72,30.2,Undrafted,2019,"9 1/2"
"Jeremy Hill",RB,"32 5/8",73,30.7,2.23,2014,"10 3/8"
"Jeremy Langford",RB,"31 1/2",72,28.2,4.07,2015,"8 3/4"
"Jeremy McNichols",RB,"31 1/2",69,31.6,5.18,2017,"10    "
"Jeremy Stewart",RB,-,73,28.8,Undrafted,2012,-
"Jerick McKinnon",RB,"30 1/4",69,30.9,3.32,2014,"8 5/8"
"Jerome Smith",RB,"30 7/8",71,30.7,Undrafted,2014,"9 3/4"
"Jewel Hampton",RB,"31    ",69,31.0,Undrafted,2012,"9 5/8"
"Jhurell Pressley",RB,"32    ",70,29.6,Undrafted,2016,"9 1/4"
"Joe Banyard",RB,-,70,29.4,Undrafted,2012,-
"Joe Kerridge",RB,"31 1/8",72,33.2,Undrafted,2016,"9 1/2"
"Joe Mixon",RB,"30 1/8",73,30.1,2.16,2017,"10 1/4"
"Joe Williams",RB,"30 3/4",71,29.3,4.15,2017,"9 3/8"
"Joel Bouagnon",RB,"31 1/2",73,30.3,Undrafted,2017,"9 3/4"
"Joey Demartino",RB,"30 5/8",71,27.9,Undrafted,2014,"9 5/8"
"Joey Iosefa",RB,"31 3/4",72,33.2,7.14,2015,"10 1/4"
"John Crockett",RB,"31    ",72,29.4,Undrafted,2015,"9 3/4"
"John Kelly",RB,"31 3/8",70,31.0,6.02,2018,"9 3/8"
"John Kuhn",RB,-,72,33.9,Undrafted,2006,-
"John Santiago",RB,"29 3/4",69,27.2,Undrafted,2019,"9 3/8"
"John Spooney",RB,"30 1/2",70,27.7,Undrafted,2014,"9 1/3"
"Johnathan Franklin",RB,"30    ",70,29.4,4.28,2013,"9 3/8"
"Joique Bell",RB,"31 3/8",71,30.7,Undrafted,2010,"9    "
"Jon Hilliman",RB,"33    ",71,30.1,Undrafted,2019,"8 3/4"
"Jonas Gray",RB,"31 3/8",70,32.3,Undrafted,2012,"10    "
"Jonathan Dwyer",RB,"31    ",71,31.9,6.19,2010,"8 5/8"
"Jonathan Grimes",RB,"31 1/2",70,29.8,Undrafted,2012,"9 3/4"
"Jonathan Stewart",RB,"32 1/4",70,33.7,1.13,2008,"9 1/2"
"Jonathan Williams",RB,"31 5/8",71,30.7,5.18,2016,"10    "
"Jordan Chunn",RB,"31 1/8",72,32.4,Undrafted,2018,"8 1/4"
"Jordan Ellis",RB,"30    ",69,33.8,Undrafted,2019,"9    "
"Jordan Howard",RB,"32 1/4",72,31.2,5.11,2016,"9    "
"Jordan Johnson",RB,"30 3/8",73,29.4,Undrafted,2017,"9    "
"Jordan Lynch",RB,"29 3/4",72,29.4,Undrafted,2014,"8 7/8"
"Jordan Scarlett",RB,"30 3/8",71,29.0,5.16,2019,"8 7/8"
"Jordan Todman",RB,"32    ",69,29.2,6.18,2011,"9 1/4"
"Jordan Wilkins",RB,"30 1/8",73,28.5,5.32,2018,"9 3/8"
"Joseph Randle",RB,"31 3/4",72,28.5,5.18,2013,"8 3/4"
"Joseph Yearby",RB,"29 5/8",69,27.3,Undrafted,2017,"8 5/8"
"Josh Adams",RB,"33 3/4",74,27.3,Undrafted,2018,"9 1/4"
"Josh Ferguson",RB,"30    ",69,29.2,Undrafted,2016,"9    "
"Josh Harris",RB,"30 1/2",72,27.1,Undrafted,2014,"9    "
"Josh Jacobs",RB,"31 5/8",70,31.6,1.24,2019,"10 1/8"
"Josh Robinson",RB,"29 3/4",68,33.0,6.29,2015,"10 1/8"
"Josh Rounds",RB,"31 1/8",72,27.8,Undrafted,2017,"9 1/2"
"Joshuwa Holloman",RB,"31 5/8",70,27.4,Undrafted,2019,"9 1/2"
"Justice Hill",RB,"31 5/8",70,28.4,4.11,2019,"9 1/2"
"Justin Crawford",RB,"32    ",71,27.8,Undrafted,2018,"9 1/8"
"Justin Davis",RB,"31    ",73,27.4,Undrafted,2017,"9 5/8"
"Justin Forsett",RB,"30 1/4",68,30.1,7.26,2008,"10 1/2"
"Justin Jackson",RB,"30 5/8",72,26.2,7.33,2018,"9 1/4"
"Justin Stockton",RB,"30 3/4",69,29.7,Undrafted,2018,"9 1/8"
"Juwan Thompson",RB,"30 3/4",71,31.8,Undrafted,2014,"9    "
"Ka'Deem Carey",RB,"31 3/4",69,30.6,4.17,2014,"9 1/2"
"Kahlil Bell",RB,"31 1/2",72,29.7,Undrafted,2009,"10 1/4"
"Kalen Ballage",RB,"32 3/4",74,29.3,4.31,2018,"9 1/2"
"Kamryn Pettway",RB,"31 1/4",72,31.9,Undrafted,2018,"9 1/2"
"Kapri Bibbs",RB,"31 3/8",69,31.3,Undrafted,2014,"8 1/2"
"Karan Higdon",RB,"30 3/4",69,30.4,Undrafted,2019,"9 5/8"
"Kareem Hunt",RB,"31 3/8",70,31.0,3.22,2017,"9 5/8"
"Karlos Williams",RB,"33    ",73,30.3,5.19,2015,"9 3/4"
"Keith Ford",RB,"31 7/8",70,31.4,Undrafted,2018,"9 1/2"
"Keith Marshall",RB,"31 5/8",71,30.5,7.21,2016,"9 3/8"
"Keith Smith",RB,"31 3/4",72,32.5,Undrafted,2014,"10    "
"Kelvin Taylor",RB,"29 1/4",70,29.7,6.36,2016,"8 1/4"
"Kendall Gaskins",RB,"32    ",73,31.4,Undrafted,2013,"8 3/4"
"Kendall Hunter",RB,"31    ",67,31.2,4.18,2011,"8 5/8"
"Kenjon Barner",RB,"29 5/8",69,28.9,6.14,2013,"9 1/8"
"Kenneth Dixon",RB,"31 3/8",70,30.8,4.36,2016,"9 1/2"
"Kenneth Farrow",RB,"31 3/8",69,32.2,Undrafted,2016,"9 1/2"
"Kenny Hilliard",RB,"31 1/4",72,30.6,7.18,2015,"9 1/4"
"Kenny Young",RB,"28 3/8",67,27.7,Undrafted,2019,"8 3/4"
"Kenyan Drake",RB,"31 3/4",73,27.7,3.10,2016,"9 3/4"
"Kerrith Whyte",RB,"29 7/8",70,28.3,7.08,2019,"9 1/2"
"Kerryon Johnson",RB,"32 1/2",72,28.9,2.11,2018,"9 3/4"
"Kerwynn Williams",RB,"29 3/4",68,29.6,7.24,2013,"9 1/8"
"Keshawn Hill",RB,"29 5/8",70,28.7,Undrafted,2015,"8 3/4"
"Khalfani Muhammad",RB,"28 7/8",67,26.6,7.23,2017,"9 1/4"
"Khalid Hill",RB,"32 1/2",73,34.7,Undrafted,2018,"9 3/8"
"Khiry Robinson",RB,"31 1/4",72,29.8,Undrafted,2013,"9 1/4"
"Knile Davis",RB,"29 3/4",70,32.6,3.34,2013,"8 5/8"
"Knowshon Moreno",RB,"30 3/4",71,29.3,1.12,2009,"10    "
"Kory Sheets",RB,"31 1/4",71,28.3,Undrafted,2009,"9 1/2"
"Kyle Hicks",RB,"32 1/2",70,29.0,Undrafted,2018,"9 1/2"
"Kyle Juszczyk",RB,"31 1/4",73,32.7,4.33,2013,"9 1/8"
"L.J. Scott",RB,"32 1/8",72,30.8,Undrafted,2019,"9 3/8"
"La'Rod Stephens-Howling",RB,-,67,29.0,7.31,2009,-
"LaDainian Tomlinson",RB,-,70,30.8,1.05,2001,-
"LaDarius Perkins",RB,"31    ",67,30.5,Undrafted,2014,"9 5/8"
"LaMichael James",RB,"30 1/4",68,29.6,2.29,2012,"9    "
"Lache Seastrunk",RB,"30    ",70,28.8,6.10,2014,"9 1/4"
"Lamar Miller",RB,"31 3/8",71,30.4,4.02,2012,"9 1/4"
"Lance Dunbar",RB,-,68,29.0,Undrafted,2012,-
"Larry Rose",RB,"30 3/4",69,28.4,Undrafted,2018,"8 1/2"
"Latavius Murray",RB,"33 1/4",74,28.6,6.13,2013,"9 1/8"
"Lavon Coleman",RB,"30 1/2",71,30.0,Undrafted,2018,"9 1/4"
"Lawrence Thomas",RB,"33 1/4",75,35.7,Undrafted,2016,"10 1/8"
"Le'Veon Bell",RB,"31 1/2",73,30.3,2.16,2013,"9 5/8"
"LeGarrette Blount",RB,"33 3/8",72,32.7,Undrafted,2010,"10    "
"LeSean McCoy",RB,"31 3/4",70,29.8,2.21,2009,"8 7/8"
"LeShun Daniels",RB,"30 5/8",71,31.0,Undrafted,2017,"9 1/2"
"Lenard Tillery",RB,"29 1/4",70,28.4,Undrafted,2017,"8 7/8"
"Leonard Fournette",RB,"31 5/8",72,32.5,1.04,2017,"9 1/4"
"Lexington Thomas",RB,"29 1/8",68,26.6,Undrafted,2019,"8 3/8"
"Lorenzo Taliaferro",RB,"32    ",72,31.1,4.38,2014,"8 3/8"
"Mack Brown",RB,"31 1/4",71,28.7,Undrafted,2015,"9 1/2"
"Madre London",RB,"31 7/8",73,28.4,Undrafted,2019,"10 3/8"
"Malcolm Agnew",RB,"30 3/8",69,29.8,Undrafted,2015,"8 7/8"
"Malcolm Brown",RB,"32 3/4",71,31.2,Undrafted,2015,"10 1/4"
