"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"Fred Ross",WR,"31 1/4",73,28.1,Undrafted,2017,"9 1/4"
"Freddie Martino",WR,"30 3/8",72,26.4,Undrafted,2014,"9    "
"Gabe Marks",WR,"30 3/8",71,26.4,Undrafted,2017,"8 3/4"
"Garrett Johnson",WR,"30 3/8",70,24.2,Undrafted,2018,"8 3/4"
"Garry Brown",WR,"33    ",72,27.9,Undrafted,2017,"9    "
"Gary Jennings",WR,"32 1/2",73,28.2,4.18,2019,"9 5/8"
"Gavin Lutman",WR,"31 1/4",76,24.5,Undrafted,2015,"10    "
"Gehrig Dieter",WR,"31 1/2",74,26.7,Undrafted,2017,"9 1/2"
"Geraldo Boldewijn",WR,"34 1/8",75,26.9,Undrafted,2014,"9 1/2"
"Geremy Davis",WR,"32 1/4",74,27.7,6.10,2015,"9 1/2"
"Geronimo Allison",WR,"32 7/8",75,24.5,Undrafted,2016,"9 1/2"
"Gerrard Sheppard",WR,-,74,27.1,Undrafted,2013,-
"Golden Tate",WR,"30 1/2",70,29.0,2.28,2010,"9 1/4"
"Grant Perry",WR,"30 1/2",71,25.8,Undrafted,2019,"9 1/8"
"Greg Dortch",WR,"29 1/4",67,27.1,Undrafted,2019,"9 1/4"
"Greg Hardin",WR,"31 1/4",70,24.5,Undrafted,2014,"8 1/4"
"Greg Jenkins",WR,"32 1/8",73,27.4,Undrafted,2013,"9 1/2"
"Greg Jennings",WR,"30    ",71,27.6,2.20,2006,"9    "
"Greg Little",WR,"33 1/4",74,28.2,2.27,2011,"9 1/8"
"Greg Salas",WR,"32    ",73,27.7,4.15,2011,"9 1/4"
"Greg Ward",WR,"31 1/8",71,25.9,Undrafted,2017,"9 7/8"
"Griff Whalen",WR,-,73,24.4,Undrafted,2012,-
"Hakeem Butler",WR,"35 1/4",77,26.9,4.01,2019,"10 3/4"
"Hakeem Nicks",WR,"33 1/2",73,27.4,1.29,2009,"10 1/2"
"Harry Douglas",WR,"31 1/8",71,25.4,3.21,2008,"7 3/4"
"Hunter Renfrow",WR,"29 1/8",70,26.4,5.11,2019,"7 7/8"
